NAME,Grouping
Commit // Memory,blue_non_creatures
Deep Analysis,blue_non_creatures
Chemister's Insight,blue_non_creatures
Careful Consideration,blue_non_creatures
Mystic Confluence,blue_non_creatures
Aetherspouts,blue_non_creatures
Desertion,blue_non_creatures
Gush,blue_non_creatures
Upheaval,blue_non_creatures
Dig Through Time,blue_non_creatures
Treasure Cruise,blue_non_creatures
Condescend,blue_non_creatures
Repeal,blue_non_creatures
"Kytheon, Hero of Akros",white_creatures
Mardu Woe-Reaper,white_creatures
Mother of Runes,white_creatures
Dauntless Bodyguard,white_creatures
Soldier of the Pantheon,white_creatures
Skymarcher Aspirant,white_creatures
Gideon's Lawkeeper,white_creatures
Herald of Anafenza,white_creatures
Devoted Caretaker,white_creatures
Wall of Omens,white_creatures
Accorder Paladin,white_creatures
Imposing Sovereign,white_creatures
Glory-Bound Initiate,white_creatures
Adanto Vanguard,white_creatures
Hidden Dragonslayer,white_creatures
Seeker of the Way,white_creatures
Spirit of the Labyrinth,white_creatures
"Anafenza, Kin-Tree Spirit",white_creatures
Flickerwisp,white_creatures
Porcelain Legionnaire,white_creatures
Blade Splicer,white_creatures
"Thalia, Heretic Cathar",white_creatures
Silverblade Paladin,white_creatures
Mirran Crusader,white_creatures
Soltari Champion,white_creatures
Mentor of the Meek,white_creatures
Hallowed Spiritkeeper,white_creatures
Restoration Angel,white_creatures
Leonin Warleader,white_creatures
Palace Jailer,white_creatures
Oketra the True,white_creatures
Sublime Archangel,white_creatures
High Sentinels of Arashin,white_creatures
Ojutai Exemplars,white_creatures
Angel of Invention,white_creatures
Reveillark,white_creatures
Cloudgoat Ranger,white_creatures
Angel of Sanctions,white_creatures
Sun Titan,white_creatures
Exalted Angel,white_creatures
Soul of Theros,white_creatures
Angel of Serenity,white_creatures
Swords to Plowshares,white_non_creatures
Mana Tithe,white_non_creatures
Condemn,white_non_creatures
Oust,white_non_creatures
Harm's Way,white_non_creatures
Declaration in Stone,white_non_creatures
Disenchant,white_non_creatures
Balance,white_non_creatures
Honor of the Pure,white_non_creatures
Journey to Nowhere,white_non_creatures
Oblivion Ring,white_non_creatures
Lingering Souls,white_non_creatures
Banishing Light,white_non_creatures
Spear of Heliod,white_non_creatures
Forsake the Worldly,white_non_creatures
Prison Term,white_non_creatures
Oblation,white_non_creatures
Armageddon,white_non_creatures
Day of Judgment,white_non_creatures
Faith's Fetters,white_non_creatures
Cast Out,white_non_creatures
Fell the Mighty,white_non_creatures
Spectral Procession,white_non_creatures
Catastrophe,white_non_creatures
Akroma's Vengeance,white_non_creatures
Secure the Wastes,white_non_creatures
Unexpectedly Absent,white_non_creatures
Martial Coup,white_non_creatures
Divine Deflection,white_non_creatures
Quarantine Field,white_non_creatures
Dread Wanderer,black_creatures
Bloodsoaked Champion,black_creatures
Diregraf Ghoul,black_creatures
Carnophage,black_creatures
Carrion Feeder,black_creatures
Vampire Lacerator,black_creatures
Cryptbreaker,black_creatures
Pack Rat,black_creatures
Blood Artist,black_creatures
Kitesail Freebooter,black_creatures
Asylum Visitor,black_creatures
Oona's Prowler,black_creatures
Heir of Falkenrath,black_creatures
Vampire Hexmage,black_creatures
Nezumi Graverobber,black_creatures
Vampire Nighthawk,black_creatures
Flesh Carver,black_creatures
Hypnotic Specter,black_creatures
Ammit Eternal,black_creatures
Midnight Reaper,black_creatures
Bone Shredder,black_creatures
Cemetery Reaper,black_creatures
Ravenous Chupacabra,black_creatures
Skinrender,black_creatures
"Braids, Cabal Minion",black_creatures
Nekrataal,black_creatures
"Gonti, Lord of Luxury",black_creatures
Mirri the Cursed,black_creatures
Shriekmaw,black_creatures
"Drana, Kalastria Bloodchief",black_creatures
Puppeteer Clique,black_creatures
Noxious Gearhulk,black_creatures
Demonlord Belzenlok,black_creatures
Demon of Dark Schemes,black_creatures
Tombstalker,black_creatures
Distended Mindbender,black_creatures
Duress,black_non_creatures
Dark Ritual,black_non_creatures
Divest,black_non_creatures
Cabal Therapy,black_non_creatures
Unearth,black_non_creatures
Booster Tutor,black_non_creatures
Tragic Slip,black_non_creatures
Go for the Throat,black_non_creatures
Animate Dead,black_non_creatures
Hymn to Tourach,black_non_creatures
Night's Whisper,black_non_creatures
Doom Blade,black_non_creatures
Exhume,black_non_creatures
Ultimate Price,black_non_creatures
Diabolic Edict,black_non_creatures
Malicious Affliction,black_non_creatures
Dismember,black_non_creatures
Buried Alive,black_non_creatures
Never // Return,black_non_creatures
Read the Bones,black_non_creatures
Ruinous Path,black_non_creatures
Victimize,black_non_creatures
Painful Truths,black_non_creatures
Rhystic Tutor,black_non_creatures
Languish,black_non_creatures
Snuff Out,black_non_creatures
Diabolic Servitude,black_non_creatures
Dread Return,black_non_creatures
Mutilate,black_non_creatures
Living Death,black_non_creatures
Wretched Confluence,black_non_creatures
Unburial Rites,black_non_creatures
Murderous Cut,black_non_creatures
Increasing Ambition,black_non_creatures
Decree of Pain,black_non_creatures
Profane Command,black_non_creatures
Judge's Familiar,azorius
Curse of Chains,azorius
Azorius Guildmage,azorius
Daxos of Meletis,azorius
Reflector Mage,azorius
Ojutai's Command,azorius
"Brago, King Eternal",azorius
Fractured Identity,azorius
"Venser, the Sojourner",azorius
"Ayli, Eternal Pilgrim",orzhov
Tidehollow Sculler,orzhov
"Kambal, Consul of Allocation",orzhov
Vindicate,orzhov
"Sorin, Lord of Innistrad",orzhov
"Aryel, Knight of Windgrace",orzhov
Utter End,orzhov
Blood Baron of Vizkopa,orzhov
Magister of Worth,orzhov
Lim-Dul's Vault,dimir
Far // Away,dimir
Baleful Strix,dimir
Dimir Guildmage,dimir
Psychatog,dimir
"Ashiok, Nightmare Weaver",dimir
Recoil,dimir
Nightveil Specter,dimir
"Wrexial, the Risen Deep",dimir
Deathrite Shaman,golgari
Abrupt Decay,golgari
Lotleth Troll,golgari
Putrefy,golgari
Reaper of the Wilds,golgari
Creakwood Liege,golgari
Vraska the Unseen,golgari
Spiritmonger,golgari
Gleancrawler,golgari
Rakdos Cackler,rakdos
Dreadbore,rakdos
Terminate,rakdos
"Daretti, Ingenious Iconoclast",rakdos
Ashenmoor Gouger,rakdos
Murderous Redcap,rakdos
Falkenrath Aristocrat,rakdos
Void,rakdos
"Grenzo, Dungeon Warden",rakdos
Slippery Bogle,simic
Simic Charm,simic
Snakeform ,simic
"Edric, Spymaster of Trest",simic
Trygon Predator,simic
Mystic Snake,simic
Prophet of Kruphix,simic
Simic Sky Swallower,simic
"Nissa, Steward of Elements",simic
Atarka's Command,gruul
Firespout,gruul
Burning-Tree Shaman,gruul
Boggart Ram-Gang,gruul
Bloodbraid Elf,gruul
"Xenagos, the Reveler",gruul
Ghor-Clan Rampager,gruul
"Ruric Thar, the Unbowed",gruul
Borborygmos Enraged,gruul
Blistercoil Weird,izzet
Izzet Charm,izzet
Fire // Ice,izzet
Expansion // Explosion,izzet
Electrolyze,izzet
Brutal Expulsion,izzet
Ral Zarek,izzet
Prophetic Bolt,izzet
"Niv-Mizzet, Dracogenius ",izzet
Dryad Militant,selesnya
Selesnya Guildmage,selesnya
Qasali Pridemage,selesnya
Fleecemane Lion,selesnya
Oracle of Nectars,selesnya
Kitchen Finks,selesnya
Armadillo Cloak,selesnya
Loxodon Hierarch,selesnya
"Ajani, Mentor of Heroes",selesnya
Figure of Destiny,boros
Lightning Helix,boros
Boros Charm,boros
"Tajic, Legion's Edge",boros
Boros Reckoner,boros
Ajani Vengeant,boros
Master Warcraft,boros
Brion Stoutarm,boros
"Basandra, Battle Seraph",boros
